,movie_cnt,movie_title,age,reviews,sent_number
3879,429번,Billy Elliot,8,This is an amazing film with positive messages about sexuality homophobia and a lot of other things  I watched it with my paretspand my 10yearold brother  The scene with Debbie and Billy in the bedroom was pretty awkward Theres a lot of bad language in the film fk st ct I think fanny but kids swear more than adults anyway its not going to change anything  Im reviewing the full 15 version not the PG one,5
3880,429번,Billy Elliot,8,This movie was amazing to see  Beware of strong language however  This movie is about a young boy who wants to do ballet however his father is not ok with it  A very emotional movie,4
3881,429번,Billy Elliot,8,To much inappropriate comments and swearing,1
3882,429번,Billy Elliot,8,There is a lot of swearing but overall a great movie,1
3883,429번,Billy Elliot,8,Do not let your children watch this it is inappropriate And very stupid,2
3884,429번,Billy Elliot,8,I thought this was a really great movie An awesome roll model for kids growing up into teens  It also showed me that to never give up and try your hardest for the things you believe in or want   But there was a lot of swearing and a bit of violence so maybe not the best for younger or immature kids but overall it was an entertaining and often times hilarious movie that you orand your kids will LOVE,4
3885,429번,Billy Elliot,8,My ratingR for pervasive language some racy content,1
4151,446번,Black Panther,8,Went to the movies theater when it came out AMAZING MOVIE was my favorite movies till spiderman into the spider verse came outcheck out my review on that Mild violence one middle finger not recommended for small children great movie though,1
4152,446번,Black Panther,8,This is possibly the best Marvel movie so far  The action is awesome the story is great and the characters are interesting and diverse  Some of the violence may be too much for younger kids  There are a lot of shootings and deaths  Michael B  Jordans character is cruel and disturbing at times  12 and up,6
4153,446번,Black Panther,8,i realy like this movie you should let your kids watch this movie,1
4154,446번,Black Panther,8,This was not my favorite but its ok  There is some swearing but not much  It has a great storyboard and I think it is fine for a mature eight year old,3
4155,446번,Black Panther,8,THIS IS INCREDIBLE This movie is my perfect marvel movie  I love everything I love how this movie has so much emotion and is so powerful it will really tugs at the heartstrings  It has a perfect balance of action emotion plot everything in between  Most marvel movies have men characters but this movie has awesome women warrior characters my favorites are Shuri Okoye Nakia and let me just say Everyone  This is my all time favorite Marvel Movie Watch it,8
4156,446번,Black Panther,8,Message a teamwork and loyalty  The first black hero and a message on never giving up Fightingexplosions and even A death happen in the movie Stand Hell are said infrequently  No Real sex in this movie  Its Part of the marvel cinematic universe Some Drinking in one scene,3
4157,446번,Black Panther,8,Great film  Favorite Marvel film so far,2
4158,446번,Black Panther,8,This movie is one of the best I have ever watched in my life but it did use consumerism violence and swearing  Though it had these it conveyed great messages and inspired us to support everyone no matter their background  It did not use sex or drugdrinkingsmoking but I would still recommend watching it with a parent or a group of friends  But if you are  8 and understand certain words are bad then I think you could still watch it,4
4159,446번,Black Panther,8,This is a really good movies for families There are a couple violent scenes and SPOILER the guy who tries to take over Wakanda is a little creepy with the knifescarthing on his upper body      but a good movie for celebrating black families Another thing a VERY good movie to watch right now especially with COVID and the BLACK LIVES MATTER thing  Great family movie definitly would watch again and probaly will,4
4170,446번,Black Panther,6,TOO MUCH VIOLENCE  FOR KIDS,2
4171,446번,Black Panther,6,this is a good movie I recommend this,1
4172,446번,Black Panther,6,I thought that this movie was good but kids under 13 might have a hard time following it understanding it  Also the violence was really intense  But I thought that it had good messages and role models,3
4173,446번,Black Panther,6,It has swearing and Blood and the religion might be confusing for Kids,1
4174,446번,Black Panther,6,i think this movie is great its just kinda violent thats all,1
4175,446번,Black Panther,6,This movie will be good to take an 10 year old out to see a movie but mild language is my concern,1
4176,446번,Black Panther,6,This movie gives info about the strength of black people everybody knows that black panther represents the strength of black people and it just says damn hell sht and other BUT its great  At the end of the movie tchalla and nakia kiss  but its not to sexual  and the movie puts out great messages,4
4177,446번,Black Panther,6,well there is quite a lot of violence characters get stabbed multiple times murder as punishment etc remind your kid or teen that this is just acting and special effects  Also there is some positivity in it  It has a message that no matter what race you are you can still do many great things  but one part I didnt like was that two characters kiss at the end  blah   There is a minimal amount of swearing  I grew up around swear words and such so if you dont want your kidteen hearing that I recommend not watching this with youre kidteen  I hope this review helped you in some way,7
4206,446번,Black Panther,8,Ive seen marvel movies better than thissuch as Thor  Although it is good it has some violent scene  Rude moments suggestive and blood is seen  I think this is better than Doctor Strange but this is still a boring MARVEL movie  Kids should not see this movie by it self,5
4207,446번,Black Panther,8,This movie is awesome action packed and gets you on the edge of your seat  Quite violent though,2
4208,446번,Black Panther,8,Black Panther is a beautiful movie with an excellent storyline and positive role models  It really values the importance of culture and diversity and supports equality for all females and males,2
4209,446번,Black Panther,8,it is very good and full of action,1
4210,446번,Black Panther,8,This is a great movie There is a lot of violence  But there is no blood  There is lots of positive messages too   I think this is appropriate for tweens,5
4211,446번,Black Panther,8,Amazing film with fun drama and superhero action,1
4212,446번,Black Panther,8,Fine movie  Watched like a million times  Knowing marvel movies this ones on the more graphic violent side but its not the worst  There are several scenes of bloody punching and stabbing and one seen of aman laying on the ground and is shot  Nothing sexual,5
4213,446번,Black Panther,8,It was a great movie that includes action adventure and story  A good movie about culture May be intense for younger children,2
4737,459번,Blazing Saddles,7,I watched this when I  was 12  My parents are strong believers in not sugar coating things and this is one of my dads favourite ever films  I also love this film and rally recommend it  It does have the nword in it so I recommend talking to your kids about why they should never ever say this work before watching the film  There are some sexual bits and you will have to be prepared to answer awkward questions that your kids may ask  In conclusion I think this is a great film and it is a great spoof western,6
4738,459번,Blazing Saddles,7,Blazing Saddles is a 1974 comedy directed by Mel Brooks and starring Cleavon Little Gene Wilder Madeline Kahn Harvey Korman Dom Deluise and Mel Brooks,1
4739,459번,Blazing Saddles,7,I saw this first when I was in 6th grade and even then I got the satire and loved the movie  Yes it has the nword and has offensive jokes But thats the point  Its not glorifying racism its making fun of the people who actually hold those beliefs like Its Always Sunny In Philadelphias humor does  Yes there are some jokes that havent aged well like the gay jokes but the amount of stillhilarious jokes override that number so much its still a really enjoyable film and a great satire  And if it counts for anything Mel Brooks asked the black star Cleavon Little about the frequent  use of the nword and he gave it the OK  If people are complaining that its racist and offensive they just dont see or get the satire and the fact that its making fun of bigots and making them laughable to take away their power like how Mel Brooks does with Hitler and nazis in The Producers and other hateful groups in so many of his movies  There is sexual jokes and implications and a scantily clad woman  There is swearing as well as some brief light violence  Definitely give it a watch,9
4740,459번,Blazing Saddles,7,Fish out of water flick attempts to satirize racism but doesnt hold up during the 21st century  There are a few Mel Brooksstyle chuckles including the magical finale  Critics are blinded my nostalgia to see the overratedness within,3
4741,459번,Blazing Saddles,7,I watched this movie when I  was 13 and I found it HILARIOUS I watch many crude comedies mostly R rated comedy movies and I thought this was pretty clean for being R  Some racial stuff language but no nudity,2
4742,459번,Blazing Saddles,7,Theres lots of innappropriate humor in here  A priest makes a reference to cattle rped  Many uses of the n word as this is based on the 1800s  Lots of language such as a rape joke  The women Well rape the sht out of them at the party Many sexual jokes and innuendos throughout the movie lots of cleavage  One character is gay or at least the others think he is  Otherwise very funny movie but pay attention to the r rating,9
4743,459번,Blazing Saddles,7,This movie is hilarious but very inappropriate and has a lot of foul language  They say st and the N word but a good movie  The actors were perfect for their roles and all contributed to the hilarity of the movie,3
4744,459번,Blazing Saddles,7,The American Film Institute didnt vote this the 6th funniest American film of all time for nothing  This Western spoof makes fun of practically all there is to make fun of race sex religion cultural stereotypes collective thought and most of all modern society and is crammed with totally inappropriate jokes concerning these topics  Above all the underlying social satire Blazing Saddles is essentially the story of a greedy state official who plans to uproot an entire town to make way for his new railway  The desperate townspeople appeal to the state governor for a new sheriff and are glad when they are sent one  only to be unspeakably shocked when they realise the new sheriff is black  Overall the film is a sly satire on popular culture with tons of overthetop slapstick but may be over some kids heads especially as the last 10 minutes does away with any notion of conventional storytelling,5
4745,459번,Blazing Saddles,7,I LOVE this movie Its my favorite Mel Brooks film my favorite comedy and probably my favorite movie in general  I especially appreciate the films antiracism message  I definitely recommend it to any Mel Brooks fan,4
4746,459번,Blazing Saddles,7,Not as funny as Spaceballs for kids in my age range but I still loved it  Has some drinking and a little bit of drug use as well as a lot of racism but it shows how stupid people are when they hate other people that are different than themselves  Very good film,3
4893,478번,Bolt,8,Superdog adventure is fun and ageappropriate for kids,1
4894,478번,Bolt,8,This movie shouldnt be watched by any kid under 6 for the violent scene at the end with Penny and Bolt  That one scene influenced the whole movie to be PG for me  If your undersixyearold kid loves action or suspence then this is the movie for them  If not dont hesitate to ignore,4
4895,478번,Bolt,8,Explosions galore in funny witty actioner,1
4896,478번,Bolt,8,I thought this film was awesome when it first came out  Since I was a kid who loved dogs and superheroes it was basically everything I could ask for  Now that Im older I dont like it quite as much as I used to  The violence is alright for kids there is no swearing and basically zero sexuality  Its also got heart humor and engaging action  Its certainly something entertaining for the younguns  continue for more detail,7
4897,478번,Bolt,8,This is a really good movie with lots of fun action  the main scary type bit is towards the end with the treat of the fire,2
4898,478번,Bolt,8,Its kinda a baby movie but otherwise its fine,1
4899,478번,Bolt,8,BOLT is full of good jokes and lots of fast action I especially loved the hamster in his clear ball running around and being brave and silly,2
4900,478번,Bolt,8,it is a bit scary,1
4901,478번,Bolt,8,I dont love this movie  It is kind of bland for a family movie  Pick something else,3
4902,478번,Bolt,8,Great movie I think  Will be nice if it was less violent,2
5170,492번,Boy and the World,7,I think this movie was okay I also think that it should be for 7 because there were some sad parts like when there was a war between the people who wanted to protect the environment and people who wanted to take down the environment and replace it with houses and big companies,1
5320,508번,Brave,8,An interesting movie with an empowering message  Its a grate story but it might be a bit too violent for younger children  The reason I rated it 11 is not because it had too much violence in it but because it have a very complex meaning hidden in it  It was even complex for me If you really want to enjoy it you have to understand it  Overall a great story with a great message,6
5321,508번,Brave,8,This movie is a really good one to skip especially for sensitive kids,1
5322,508번,Brave,8,Ive seen Frozen 2 and Wreck it Ralph Breaks the Internet both pale in comparison to the awfulness of this movie,1
5323,508번,Brave,8,i love this movie  such great role models music and animations  It also embodies the importance of family relationships  great movie,4
5324,508번,Brave,8,I would almost put this under a mild horror movie label and a family film at the same time  I guess it just depends on how tough your kids are with animated violence and creepiness since there are scenes I felt were a bit much for younger kids  SPOILER ALERT For example when Meridas mother turns into a bear and when she wasnt acting like her human self at times  The witch her magic and her cottage was also creepy  Another bear  who looked rotted and beaten  from an ancient story was also shown trying to kill Merida and her family  It really depends on what kind of kid you have I guess,6
5325,508번,Brave,8,I finished this movie tonight and it rules My mom said shed watch this movie over again I used to be scared but now Im not  I took a quiz on ohmy disney com and apparently Im a cross of Merida and Belle,4
5326,508번,Brave,8,Great movie  Theres a great message  But theres some mild violence and scariness  There is no bloodshed or guns but it is definitely scary for kids under the age of 7,4
5327,508번,Brave,8,This film was traumatic for 4 year old me  Children at that age arent really able to comprehend whats happening and just see people turning into bears and trying to kill each other  However when watched at the right age its a great film with a good role model and comedic at times,3
5328,508번,Brave,8,scary a little  good movie  very sad,3
5355,508번,Brave,8,This movie is not good,1
5356,508번,Brave,8,Not pixars best  Pretty scary movie as well,2
5357,508번,Brave,8,It has a great plot The characters are awesome and I LOVE how it takes place in Scotland They use traditional Scottish music in in the movie and I absolutely LOVE their accents You should watch this movie I shows the traditions of Scotland too,6
5358,508번,Brave,8,It is a good movie but it is too scary for younger kids,1
5359,508번,Brave,8,i really like the movie brave and there are some parts that are scary and the tiniest bit inappropriate  the main character Merida and her mother go on an adventure to turn mom back into a human instead of a,2
5360,508번,Brave,8,This movie was much better than many people thought it was in my opinion   It was one of the first movies I saw at the movie theater and I enjoyed it a whole lot,2
